titulo	slug	entidad_origen	codigo_origen	categoria	direccion1	direccion2	cp	poblacion	descripcion	telefono	fax	url	email	foto	latitud	longitud	foto_x	foto_x_titulo	foto_x_alt	acces_fisica	acces_visual	acces_auditiva	acces_intelectual	acces_organica	tipo_biblio	año_inicio	institucion	tipo_institucion	horarios	tipo_acceso	tipo_centro	tematica			servicios											
Ostolaza Udal Liburutegia		ejgv_biblio		Biblioteca	Astillero kalea, 4		20820	DEBA		943 192 560			ostolaza@deba.net							accesible	sin_datos	sin_datos			Publikoa	1936	Debako Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ			SÍ		
Udal Liburutegia		ejgv_biblio		Biblioteca	Kultur Etxea	Anboto plaza, 4	48160	DERIO		944 540 210			liburutegia@deriokoudala.net							accesible	no_accesible	no_accesible			Publikoa	1988	Derioko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ	SÍ		SÍ	SÍ		SÍ	SÍ	
Aieteko Kultur Etxeko Liburutegia		ejgv_biblio		Biblioteca	Aiete pasealekua, 63		20009	DONOSTIA-SAN SEBASTIÁN		943 481 921		http://katalogoa.donostiakultura.com	aieteliburutegia@donostia.org							sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
Ernest Lluch Kultur Etxeko Liburutegia		ejgv_biblio		Biblioteca	Anoeta pasealekua, 7		20014	DONOSTIA-SAN SEBASTIÁN		943 481 867		http://katalogoa.donostiakultura.com	amaraliburutegia@donostia.org							sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
Casares-Tomasene Kultur Etxeko Liburutegia		ejgv_biblio		Biblioteca	Darieta bidea, 6		20017	DONOSTIA-SAN SEBASTIÁN		943 357 516		http://katalogoa.donostiakultura.com	tomaseneliburutegia@donostia.org							sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
Egia Kultur Etxeko Liburutegia		ejgv_biblio		Biblioteca	Baztan, 21		20012	DONOSTIA-SAN SEBASTIÁN		943 298 024		http://katalogoa.donostiakultura.com	egialiburutegia@donostia.org							sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
Udal Liburutegi Nagusia. Haur Saila		ejgv_biblio		Biblioteca	Fermín Calbetón, 25		20003	DONOSTIA-SAN SEBASTIÁN		943 481 999		http://katalogoa.donostiakultura.com	haurliburutegia@donostia.org							sin_datos	sin_datos	sin_datos			Infantil 		Donostiako Udala	Ayuntamiento		Libre 	Publico		Infantil													
Intxaurrondo Berri Kultur Etxeko Liburutegia		ejgv_biblio		Biblioteca	Gaztela kalea, 2		20015	DONOSTIA-SAN SEBASTIÁN		943 279 343		http://katalogoa.donostiakultura.com	intxaurrondoberriliburutegia@donostia.org							sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
Larratxo Liburutegia		ejgv_biblio		Biblioteca	Txirrita bertsolaria, 22		20017	DONOSTIA-SAN SEBASTIÁN		943 392 625		http://katalogoa.donostiakultura.com	larratxoliburutegia@donostia.org							sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
Larrotxene Kultur Etxeko Liburutegia		ejgv_biblio		Biblioteca	Intxaurrondo, 57		20015	DONOSTIA-SAN SEBASTIÁN		943 291 954		http://katalogoa.donostiakultura.com	larrotxeneliburutegia@donostia.org							sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
Udal Liburutegi Nagusia		ejgv_biblio		Biblioteca	Alderdi Eder, 1		20003	DONOSTIA-SAN SEBASTIÁN		943 481 486		http://katalogoa.donostiakultura.com	liburutegia_alderdieder@donostia.org							sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
Loiola Kultur Etxeko Liburutegia		ejgv_biblio		Biblioteca	Aralar mendia, 17		20014	DONOSTIA-SAN SEBASTIÁN		943 454 605		http://katalogoa.donostiakultura.com	loiolaliburutegia@donostia.org							sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
Lugaritz Kultur Etxeko Liburutegia		ejgv_biblio		Biblioteca	Heriz pasealekua, 20		20008	DONOSTIA-SAN SEBASTIÁN		943 310 780		http://katalogoa.donostiakultura.com	lugaritzliburutegia@donostia.org							sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
Okendo Kultur Etxeko Liburutegia		ejgv_biblio		Biblioteca	Nafarroa hiribidea, 7		20013	DONOSTIA-SAN SEBASTIÁN		943 297 894		http://katalogoa.donostiakultura.com	okendoliburutegia@donostia.org							sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
Urgull Mendiko Liburutegia		ejgv_biblio		Biblioteca	Damen bateria. Urgull mendia		20003	DONOSTIA-SAN SEBASTIÁN		943 420 490		http://katalogoa.donostiakultura.com								sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
Udal Musika eta Dantza Eskolako Liburutegia		ejgv_biblio		Biblioteca	Hirutxulo plaza, 3		20012	DONOSTIA-SAN SEBASTIÁN		943 297 830		http://katalogoa.donostiakultura.com	musikaliburutegia@donostia.org							sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
San Telmo Museoko Liburutegia		ejgv_biblio		Biblioteca	Zuloaga plaza		20003	DONOSTIA-SAN SEBASTIÁN				http://katalogoa.donostiakultura.com								sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
Cristina-enea Ingurumen baliabideen Etxeko Liburutegia		ejgv_biblio		Biblioteca	Cristina Enea	Mandas Dukearen pasealekua	20012	DONOSTIA-SAN SEBASTIÁN		943 453 526		http://katalogoa.donostiakultura.com	cristinaenea@donostia.org							sin_datos	sin_datos	sin_datos			Publikoa		Donostiako Udala	Ayuntamiento		Libre 	Publico	General														
Amundarain Liburutegi-mediateka		ejgv_biblio		Biblioteca	Martutene, 48		20014	DONOSTIA-SAN SEBASTIÁN		943 470 235		http://katalogoa.donostiakultura.com								sin_datos	sin_datos	sin_datos			Publikoa		Arantzazuko Ama ikastola	Pribatua		Libre 	Publico	General														
Udal Biblioteka		ejgv_biblio		Biblioteca	Komentukale, 8		48200	DURANGO		946 030 041		http://www.durango-udala.net	liburutegia@durango-udala.net							accesible	no_accesible	accesible			Publikoa	1992	Astarloa Kulturgintza	Erakunde autonomoa		Libre 	Publico	General			SÍ		SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ
Juan San Martin Liburutegia		ejgv_biblio		Biblioteca	Portalea	Bista Eder, 10 - 1,	20600	EIBAR		943 708 437		http://www.bibliotecaspublicas.es/eibar	biblioteca@eibar.net							accesible	no_accesible	no_accesible			Publikoa	1907	Eibarko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ
Udal Liburutegia		ejgv_biblio		Biblioteca	C/ Norte, 26		1340	ELCIEGO		945 606 166		http://www.bibliotecaspublicas.es/elciego	biblioteca@biblielciego.e.telefonica.net							accesible	no_accesible	no_accesible			Publikoa	1989	Ayuntamiento de Elciego	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ			SÍ	SÍ		SÍ	SÍ	SÍ
Udal Liburutegia		ejgv_biblio		Biblioteca	Salbador, 2		20690	ELGETA		943 78 80 12			mariele_este@yahoo.es							accesible	no_accesible	no_accesible			Publikoa	1978	Elgetako Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ			SÍ	SÍ	SÍ			SÍ
Gotzon Garate Udal Liburutegia		ejgv_biblio		Biblioteca	San Francisco, 21 - 2.		20870	ELGOIBAR		943 743 525			liburutegia@elgoibar.org							accesible	no_accesible	no_accesible			Publikoa	1962	Elgoibarko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ
Udal Liburutegia		ejgv_biblio		Biblioteca	Elizburu, 18		48230	ELORRIO		946 032 032		http://www.elorrio.net	liburutegia@elorrio.net							accesible	accesible	accesible			Publikoa	1967	Elorrioko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ		SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ
Udal Liburutegia		ejgv_biblio		Biblioteca	Plaza Santa María, 10 - 2º dcha		1309	ELVILLAR		945 604 035			aulatelematicaelvillar@hotmail.com							accesible	no_accesible	no_accesible			Publikoa	1986	Ayuntamiento de Elvillar-Bilar	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ					SÍ	SÍ	SÍ		SÍ	SÍ
Altzagako Udal Liburutegia		ejgv_biblio		Biblioteca	Jesús Aranburu, 6 - 8		48950	ERANDIO		94-4170071			liburutegi-erandio@euskalnet.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Astrabuduako Udal Biblioteka		ejgv_biblio		Biblioteca	Josu Murueta plaza, z/g		48950	ERANDIO		944 672 946		http://www.erandioko-udala.net/Udala/eu_Biblioteca.htm	astlib@erandioko-udala.net / astrabubiblioteka@erandioko-udala.net							accesible	no_accesible	no_accesible			Publikoa	1992	Erandioko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ			SÍ		SÍ	SÍ	SÍ		
Udal Liburutegia		ejgv_biblio		Biblioteca	Andía, 8 		1208	SAN MILLAN/DONEMILIAGA		945 300 472			biblioteca@sanmillan.es							accesible	no_accesible	no_accesible			Publikoa	2005	Donemiliagako Udala	Ayuntamiento		Libre 	Publico	General			SÍ					SÍ	SÍ	SÍ	SÍ	SÍ		
Udal Liburutegia		ejgv_biblio		Biblioteca	Elexalde auzoa, z/g		48313	EREÑO		946 254 621			udala.ereno@bizkaia.org							no_accesible	no_accesible	no_accesible			Publikoa	1990	Ereñoko Udala	Ayuntamiento		Libre 	Publico	General			SÍ						SÍ					
Udal Liburutegia		ejgv_biblio		Biblioteca	Goienkale, z/g		48260	ERMUA		943 179 212			biblioteca@udalermua.net							accesible	sin_datos	no_accesible			Publikoa	1989	Ermuko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ		SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	
Haur eta Gazte Liburutegia		ejgv_biblio		Biblioteca	Xenpelar etxea	Magdalena, 32	20100	ERRENTERIA		943-449635			liburutegi@errenteria.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Magdalena, 27-29		20100	ERRENTERIA		943 449 635			liburutegi@errenteria.net							accesible	no_accesible	no_accesible			Publikoa	1962	Errenteriako Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ		SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Borondegi Etxea		20737	ERREZIL		943-812764			errezil_liburutegia@yahoo.es							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Biblioteka		ejgv_biblio		Biblioteca	San Pedro kalea, z/g		20540	ESKORIATZA		943 713 135			biblioteka@eskoriatza.net							accesible		no_accesible			Publikoa	2003	Eskoriatzako Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ			SÍ	
Bekosolo Liburutegia		ejgv_biblio		Biblioteca	Bekosolo parkea, 7		48450	ETXEBARRI		94-4264167			bekosololiburutegia@etxebarri.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
San Antonio Udal Liburutegia		ejgv_biblio		Biblioteca	Andalucía, 19		48450	ETXEBARRI		944 406 040			sanantonioliburutegia@etxebarri.net							accesible	no_accesible	no_accesible			Publikoa	1987	Etxebarriko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ					SÍ		SÍ	SÍ	SÍ	
Etxebarriko Udal Liburutegia		ejgv_biblio		Biblioteca	Erbera, 14		48277	ETXEBARRIA		946 169 342			liburutegia.etxebarria@bizkaia.org							no_accesible	no_accesible	no_accesible			Publikoa	1985	Etxebarriko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ		SÍ	SÍ	SÍ
Udal Liburutegia		ejgv_biblio		Biblioteca	Anduaga auzoa, z/g		20709	EZKIO-ITSASO		943 723 525			ezkio-itsaso@hotmail.com							no_accesible	no_accesible	no_accesible			Publikoa	1988	Ezkio-Itsasoko Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ		SÍ	SÍ	SÍ	SÍ		SÍ	
J. M. Torrealdai Liburutegia		ejgv_biblio		Biblioteca	Elejalde auzoa, 23		48393	FORUA		946 254 574		http://www.forua.net	liburutegi.forua@bizkaia.org							no_accesible	no_accesible	no_accesible			Publikoa	1999	Foruko Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ			SÍ	SÍ	SÍ		SÍ	
Fruizko Udal Liburutegia		ejgv_biblio		Biblioteca	Aldai auzoa, 48		48116	FRUIZ		946 153 210			alegarretaetxebarria.fruiz@bizkaia.org							accesible	no_accesible	no_accesible			Publikoa		Fruizko Udala	Ayuntamiento		Libre 	Publico	General			SÍ						SÍ		SÍ		SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Gabiria gunea, z/g		20217	GABIRIA		943-880734			gabiria@udal.gipuzkoa.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Herriko plaza, z/g		20248	GAINTZA		943-889564			gaintza@udal.gipuzkoa.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Aperribaiko Liburutegia		ejgv_biblio		Biblioteca	Aperribai auzoa, z/g		48960	GALDAKAO		94-4261790			bibliotecaaperribai@galdakao.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Torrezabal Udal Liburutegia		ejgv_biblio		Biblioteca	Lehendakari Agirre, z/g		48960	GALDAKAO		944 571 296			bibliotecatorrezabal@galdakao.net							accesible	accesible	no_accesible			Publikoa	1969	Galdakaoko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ		SÍ	SÍ	
Usansoloko Udal Liburutegia		ejgv_biblio		Biblioteca	Ander Deuna, z/g		48960	GALDAKAO		944 363 035			bibliotecausansolo@galdakao.net							no_accesible	no_accesible	no_accesible			Publikoa	1985	Galdakaoko Udala	Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	San Pedro, 6		48191	GALDAMES		94-6104930			liburu@euskalnet.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Ergoien auzoa, z/g		48113	GAMIZ-FIKA		94-6153114			emonasterio.gamiz-fika@bizkaia.org							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Sertutxa auzoa, z/g		48110	GATIKA		94-6151250			kulturetxea@gatika.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Sabin Muniategi Udal Liburutegia		ejgv_biblio		Biblioteca	Enparantza, 2		48314	GAUTEGIZ-ARTEAGA		946 271 513			kultura.gautegiz@gmail.com							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Foruen plaza, 2		48300	GERNIKA-LUMO		946 270 201		http://www.gernika-lumo.net/kultura/datos/eu_biblioteca.htm	liburutegia@gernika-lumo.net							accesible	no_accesible	no_accesible			Publikoa	1987	Gernika-Lumoko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ	SÍ		SÍ	SÍ	SÍ	SÍ	SÍ	SÍ
Udal Liburutegia		ejgv_biblio		Biblioteca	San Roke, 2-1.		20808	GETARIA		943-896147			kultura@getaria.org							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Gobela Udal Liburutegia		ejgv_biblio		Biblioteca	Luis López Osés, z/g		48930	GETXO		944 644 810		http://www.getxo.net	gobela.liburutegia@getxo.net							accesible	no_accesible	no_accesible			Publikoa	2010	Getxoko Kultur Etxea	Erakunde autonomaa		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	
San Nikolas Liburutegia		ejgv_biblio		Biblioteca	Plaza San Nicolás, s/n		48991	GETXO		944 911 704		http://www.getxo.net	sannikolas.liburutegia@getxo.net							no_accesible	no_accesible	no_accesible			Publikoa	1989	Getxoko Kultur Etxea	Erakunde autonomaa		Libre 	Publico	General			SÍ	SÍ		SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	
Villamonteko Liburutegia		ejgv_biblio		Biblioteca	Villamonte, A - 8		48991	GETXO		944 319 281		http://www.getxo.net	villamonte.liburutegia@getxo.net							accesible	no_accesible	no_accesible			Publikoa	1975	Getxoko Kultur Etxea	Erakunde autonomaa		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	El Molinar, 11		48192	GORDEXOLA		946 798 061			ke-gordexola@gordexola.net							accesible	no_accesible	no_accesible			Publikoa		Gordexolako Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ			SÍ		SÍ		SÍ	SÍ
Gorlizko Udal Liburutegia		ejgv_biblio		Biblioteca	Krutzeta, 5 A		48630	GORLIZ		946 774 000			liburutegia@gorliz.net							accesible	no_accesible	no_accesible			Publikoa	1992	Gorlizko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ	SÍ		SÍ		SÍ	SÍ	SÍ	SÍ
Udal Liburutegia		ejgv_biblio		Biblioteca	Eretza, z/g 	Zaramillo	48820	GUEÑES		94-6693747			bibliotecazaramillo@hotmail.com							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Biblioteca de Güeñes		ejgv_biblio		Biblioteca	Enkarterri, 2		48840	GÜEÑES		946 690 877			bibliotecaguenes@euskalnet.net							accesible	no_accesible	no_accesible			Publikoa	1996	Güeñesko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ		SÍ				SÍ	SÍ		SÍ	
Sodupeko Udal Liburutegia		ejgv_biblio		Biblioteca	Travesía Gallarraga, z/g		48830	GÜEÑES		946 692 276		http://www.guenes.net	bibliotecasodupe@guenes.net							accesible	no_accesible	sin_datos			Publikoa	1975	Güeñesko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ	SÍ		SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Nafar kalea, 18		20120	HERNANI		943 552 966		http://www.hernaniliburutegia.net	liburutegi@hernani.net							accesible	no_accesible	no_accesible			Publikoa	1958	Hernaniko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ		SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Zuloaga Etxea	Kale Nagusia, 8	20820	HONDARRIBIA		943-111295			liburutegia@hondarribia.org							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Benito Izagirre Kultur Etxea	Euskal Herria, 44	20400	IBARRA		943 670 399			liburuzaina@ibarrakoudala.net							accesible	no_accesible	no_accesible			Publikoa	1987	Ibarrako Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ		SÍ		SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	
Kultur Etxea		ejgv_biblio		Biblioteca	Ibaeta, 4		48311	IBARRANGELU		946 276 198			kultur@ibarrangelu.euskalnet.net							sin_datos	sin_datos	sin_datos			Publikoa	1996	Ibarrangeluko udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ							SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Plaza Nagusia, 3		20213	IDIAZABAL		943-187099			idiazabal@idiazabalgoliburutegia.e.telefonica.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
I.Zubizarreta Liburutegia		ejgv_biblio		Biblioteca	Olabarri, 33		48140	IGORRE		94-6736251			i.elexpe@igorre.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Kiroldegia	San Lorentzo, z/g	20267	IKAZTEGIETA		943-652046			kultura.ikaztegieta@euskalnet.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Ikust-Alaia Udal Liburutegia		ejgv_biblio		Biblioteca	Kale Nagusia, 24		20304	IRUN		943 505 421		http://www.irung.org/biblioteca	biblioteca@irun.org							accesible	no_accesible	no_accesible			Publikoa	1978	Irungo Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ
Udal Liburutegia		ejgv_biblio		Biblioteca	San Migel plaza, 4 atzea		20271	IRURA		943 692 674			irurakoliburutegia@gmail.com							no_accesible	no_accesible	no_accesible			Publikoa	1989	Irurako Udala	Ayuntamiento		Libre 	Publico	General			SÍ		SÍ	SÍ			SÍ	SÍ	SÍ			
Udal Liburutegia		ejgv_biblio		Biblioteca	Kale Nagusia, 24		20249	ITSASONDO		943-881170			mlasa.itsasondo@udal.gipuzkoa.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Iurretako Herri Biblioteka		ejgv_biblio		Biblioteca	Bidebarrieta, 4		48215	IURRETA		946 812 726			biblioteka@iurreta.net							no_accesible	no_accesible	accesible			Publikoa	2001	Iurretako Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	
Urkabustaizko Udal Liburutegia		ejgv_biblio		Biblioteca	Godamiturri, 7		1440	URKABUSTAIZ		945 437 710			urkabustaiz1@arrakis.es							accesible	no_accesible	no_accesible			Publikoa	1971	Urkabustaizko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	
Izurtzako Udal Liburutegia		ejgv_biblio		Biblioteca	Eleizalde, 13		48213	IZURTZA		946 813 548			liburutegia.izurtza@bizkaia.org							no_accesible	no_accesible	no_accesible			Publikoa	1988	Izurtzako Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ			SÍ	SÍ	SÍ		SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Barrio Concha, 46		48891	KARRANTZA HARANA		946 806 716			kulturetxea@karrantza.org							accesible	no_accesible 	no_accesible			Publikoa	1984	Karrantzako Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Enderika auzoa, 10-1,		48315	KORTEZUBI		946 271 648			liburutegi.kortezubi@bizkaia.org							accesible	no_accesible	no_accesible			Publikoa	2009	Kortezubiko Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ			SÍ				SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	San Martín, 11		1308	KRIPAN		653 740 737			kripan@aulastelematicas.com							accesible	no_accesible	no_accesible			Publikoa	1985	Kripango Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ			SÍ				SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Plaza de la Paz, s/n		1330	LABASTIDA		945-331810			aytolabastida@wanadoo.es							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Biblioteca Pública		ejgv_biblio		Biblioteca	Casa Garcetas	Mayor, 52	1300	LAGUARDIA		945 600 906			biblioteca@bibliolaguardia.e.telefonica.net							accesible	no_accesible	no_accesible			Publikoa	1920	Guardiako Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ		SÍ	SÍ		SÍ	SÍ	SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	San Antonio, 6-8-10		1308	LANCIEGO		945 608 221			lanciego@aulastelematicas.com							accesible	accesible	no_accesible			Publikoa		Lantziegoko Udala	Ayuntamiento		Libre 	Publico	General			SÍ							SÍ	SÍ		SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Anguleri Kultur Etxea	Mikel Zarate, z/g	48195	LARRABETZU		94-4558271			liburutegi.larrabetzu@bizkaia.org							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	San Esteban plaza, z/g		20159	LARRAUL		943-693042			larraul@udal.gipuzkoa.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Manuel Lekuona Kultur-Etxea	Geltoki plaza, 18	20160	LASARTE-ORIA		943 376 181			liburutegia@lasarte-oria.org							accesible	no_accesible	no_accesible			Publikoa	1986	Lasarte-Oriako Udala	Ayuntamiento		Libre 	Publico	General			SÍ		SÍ					SÍ				
Lauaxeta Udal Liburutegia		ejgv_biblio		Biblioteca	Lauaxeta enparantza, z/g		48111	LAUKIZ		946 151 063			liburutegia@laukiz.net							accesible	sin_datos	sin_datos			Publikoa	1986	Laukizko Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ			SÍ	SÍ	SÍ		SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Euskadiko enparantza, 1		20210	LAZKAO		943 088 080			liburutegia@lazkao.net							accesible	sin_datos	sin_datos			Publikoa	1987	Lazkaoko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ		SÍ			SÍ	SÍ	SÍ			
Udal Liburutegia		ejgv_biblio		Biblioteca	Urrope plaza, 2 behea		20491	LEABURU		943 675 931			leaburu@udal.gipuzkoa.net							accesible	no_accesible	no_accesible			Publikoa	2006	Leaburu-Txamarako Udala	Ayuntamiento		Libre 	Publico	General			SÍ		SÍ				SÍ	SÍ			SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Latxartegi plaza, 3		20230	LEGAZPI		943 737 186			liburutegia.le@legazpi.net							accesible	accesible	no_accesible			Publikoa	1968	Legazpiko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	
